msoa11cd,total_number_of_collisions_2018_2022,total_number_of_casualties_by_casualty_lsoa_2018_2022,total_number_of_casualties_by_msoa_of_accident_2018_2022,fatal_casualties_2018_2022,cyclist_casualties_2018_2022,pedestrian_casualties_2018_2022,car_occupant_casualties_2018_2022,motorcycle_casualties_2018_2022,horse_rider_casualties_2018_2022,snow_collisions_2018_2022,fog_or_mist_collisions_2018_2022,darkness_collisions_2018_2022,daylight_collisions_2018_2022,summer_collisions_2018_2022,winter_collisions_2018_2022
E02003947,96,63,141,1,13,4,98,15,0,4,4,20,77,28,23
E02003952,96,75,125,0,13,11,84,12,0,4,4,20,77,33,20
E02004169,96,56,143,2,3,6,112,6,0,4,4,29,67,29,21
E02004256,96,66,130,2,2,7,99,8,0,5,5,23,73,29,25
E02004403,96,75,137,4,7,8,90,18,0,4,4,34,62,27,23
E02004409,96,56,135,2,9,6,94,11,3,3,3,32,64,29,19
E02004531,96,63,120,1,13,12,61,21,0,4,4,19,79,23,26
E02005147,96,98,121,2,10,38,55,10,0,5,5,20,76,31,22
E02005160,96,82,123,2,19,27,59,9,0,6,6,14,84,23,17
E02005619,96,29,146,8,3,4,102,7,0,3,4,33,63,25,30
E02005917,96,29,127,1,10,3,89,10,0,4,3,23,74,34,19
E02006230,96,98,135,2,10,15,95,12,0,6,6,17,80,28,27
E02006243,96,68,130,3,11,10,87,13,0,5,5,28,68,28,22
E02006278,96,49,116,2,24,34,44,5,0,6,6,20,77,31,20
E02006917,96,11,110,0,27,32,37,4,0,4,4,44,52,26,20
W02000024,96,3,136,4,2,3,80,41,0,5,4,11,86,38,13
W02000120,96,49,133,0,3,4,105,11,0,5,5,18,78,27,19
E02000067,95,99,116,1,15,19,64,8,0,5,5,31,64,21,27
E02000537,95,109,120,1,13,20,56,23,0,5,5,33,62,22,20
E02000600,95,87,111,0,47,14,33,13,1,5,5,18,78,23,25
E02000905,95,120,111,1,21,17,44,16,0,5,5,29,66,21,26
E02001419,95,67,108,1,12,33,41,13,0,5,5,20,75,26,17
E02001566,95,91,130,1,10,16,97,4,0,4,4,35,61,21,24
E02001915,95,103,135,1,5,24,95,4,0,7,7,23,73,26,29
E02002242,95,75,126,1,12,8,91,8,0,5,5,31,65,18,32
E02002420,95,95,129,1,12,20,73,6,0,5,5,31,64,23,23
E02002647,95,98,116,1,13,29,61,11,0,5,5,21,75,28,14
E02002769,95,41,133,6,3,4,106,11,0,4,4,26,71,25,23
E02002922,95,38,138,4,8,0,101,17,0,5,5,27,68,30,24
E02003025,95,83,124,2,23,15,64,18,0,4,4,31,64,24,28
E02003186,95,107,108,0,28,19,42,13,0,5,5,23,72,24,16
E02003253,95,98,113,4,25,14,63,7,0,5,5,28,67,19,21
E02003414,95,99,134,1,13,11,94,8,0,6,6,31,64,21,21
E02003595,95,72,125,1,4,9,82,20,1,6,6,25,71,29,26
E02003606,95,54,153,4,7,3,118,12,0,5,5,21,75,30,23
E02004226,95,76,133,0,3,4,99,10,3,4,4,13,82,27,32
E02004266,95,87,143,2,12,4,107,14,0,5,5,18,78,29,21
E02004315,95,61,119,2,12,29,55,9,0,5,5,17,78,25,19
E02005059,95,103,125,0,12,19,80,10,0,6,6,26,69,27,20
E02005093,95,79,133,3,2,5,108,11,0,4,4,33,63,21,19
E02005110,95,75,142,0,2,4,118,11,0,4,4,23,72,27,24
E02005258,95,60,126,0,23,16,74,5,0,5,5,20,75,25,23
E02005645,95,52,122,1,9,24,70,11,0,6,6,27,69,25,14
E02006799,95,139,128,0,8,13,72,12,0,7,6,31,65,21,24
E02006821,95,38,134,1,13,7,86,18,0,4,4,29,66,26,23
E02006922,95,116,108,1,18,12,47,23,0,9,9,27,69,26,28
E02000093,94,125,104,0,11,16,44,21,0,6,6,33,61,23,27
E02000431,94,34,102,0,18,17,30,28,0,4,4,32,62,29,11
E02000514,94,137,112,0,5,22,59,19,0,6,6,28,66,24,23
E02000687,94,108,114,0,4,22,56,26,0,5,5,32,63,21,16
E02000692,94,58,103,0,34,21,24,19,0,5,5,24,71,21,21
E02000751,94,63,105,0,23,22,33,19,0,7,8,21,75,27,21
E02000796,94,102,110,0,13,20,54,14,0,6,6,26,68,19,21
E02000864,94,132,102,0,30,18,24,17,0,4,4,40,54,16,19
E02000955,94,118,98,0,44,11,22,18,0,4,4,14,80,29,12
E02001883,94,96,117,0,14,24,68,5,0,5,5,28,66,27,24
E02002202,94,55,112,0,8,37,50,5,0,5,5,26,68,25,19
E02002220,94,140,125,1,9,31,72,5,0,5,5,33,61,27,23
E02002619,94,131,131,0,5,19,97,6,0,5,5,32,63,21,22
E02002714,94,69,136,3,2,6,96,25,0,5,5,28,67,31,22
E02002818,94,90,116,0,8,19,68,7,0,4,4,29,65,23,25
E02002875,94,90,116,0,16,17,49,15,0,5,5,16,78,25,24
E02003156,94,103,134,1,9,10,101,9,0,6,6,28,66,26,26
E02003226,94,77,112,0,22,21,44,18,0,4,4,33,61,23,28
E02003736,94,76,141,0,6,3,106,14,0,6,6,29,65,19,27
E02003912,94,67,159,3,8,0,130,7,1,5,5,21,74,28,19
E02004253,94,54,112,0,13,7,56,29,0,5,5,25,70,33,21
E02004375,94,109,123,2,14,19,67,16,0,5,5,29,65,23,26
E02005060,94,103,114,3,6,20,65,11,0,5,5,28,66,20,23
E02005798,94,45,134,5,6,6,84,27,0,7,6,16,79,36,12
E02005825,94,55,132,2,9,5,96,9,0,5,5,28,66,21,27
E02006516,94,71,132,4,11,1,90,16,1,5,5,32,62,27,20
E02006537,94,117,109,0,33,14,40,17,0,7,7,24,71,20,19
E02006870,94,138,115,1,18,25,45,18,0,7,7,14,80,24,19
E02000350,93,118,104,0,37,22,16,19,0,5,5,33,60,27,26
E02000461,93,48,108,0,13,10,61,18,0,4,4,33,60,24,26
E02000676,93,85,106,0,26,8,37,21,0,5,5,36,57,30,19
E02000696,93,121,108,0,19,13,26,36,0,5,5,31,63,26,14
E02000733,93,137,110,0,15,24,40,18,0,5,5,28,66,25,22
E02000805,93,93,103,0,35,21,29,11,0,6,6,22,72,28,23
E02000907,93,142,101,0,14,33,29,19,0,6,6,30,63,24,25
E02001366,93,90,113,1,26,25,47,5,0,6,6,29,65,29,21
E02001640,93,17,114,0,28,25,49,2,0,5,5,31,63,25,18
E02001856,93,106,115,0,5,23,74,2,0,5,5,29,64,19,23
E02001882,93,119,127,3,6,23,89,6,0,5,5,30,63,21,19
E02002668,93,129,105,0,34,15,39,13,0,6,6,16,79,23,24
E02002697,93,67,136,4,8,1,97,21,0,4,4,18,75,27,25
E02002719,93,37,124,1,8,9,88,8,0,4,4,17,77,27,27
E02002878,93,113,106,0,13,22,46,11,0,5,5,28,65,25,27
E02003377,93,41,122,2,17,2,70,27,0,6,6,17,76,38,24
E02003402,93,71,105,2,30,21,38,11,0,6,6,27,66,21,26
E02003405,93,124,103,0,25,16,41,15,0,6,6,19,75,25,15
E02003496,93,110,118,0,11,8,71,8,0,5,5,32,61,20,30
E02003526,93,52,122,1,13,9,64,29,0,4,4,26,67,27,15
E02003645,93,55,121,0,14,20,73,6,0,4,4,29,65,26,21
E02003906,93,45,163,0,5,6,118,13,1,4,4,21,73,35,16
E02003963,93,86,117,1,7,28,63,16,0,6,6,23,70,25,25
E02004186,93,77,118,0,6,5,77,14,0,5,5,17,76,21,23
E02004214,93,52,124,0,13,24,66,8,0,4,4,21,72,24,27
E02004505,93,44,122,1,17,1,64,26,0,3,3,14,80,30,26
E02004532,93,58,121,1,3,12,86,9,0,4,4,34,59,19,35
E02004598,93,91,149,1,11,3,118,8,0,6,6,30,64,25,27
E02004637,93,59,109,3,29,22,46,8,0,5,5,28,65,26,20
E02004679,93,63,130,3,11,9,88,11,1,5,5,27,66,27,21
E02005010,93,82,109,1,10,33,48,15,0,5,5,23,70,31,20
E02005055,93,130,118,1,5,13,74,19,0,4,4,26,67,24,20
E02005428,93,98,131,0,4,22,84,15,0,4,4,23,70,32,16
E02005562,93,65,142,1,5,6,111,13,0,4,4,22,71,24,23
E02006289,93,70,134,0,9,10,99,9,0,5,5,24,69,33,21
E02006311,93,73,123,0,8,32,66,13,0,5,5,26,67,23,26
E02006449,93,53,129,1,14,14,78,11,0,5,5,29,64,22,28
E02006525,93,66,108,1,20,28,45,11,0,8,8,19,76,24,32
E02006679,93,93,118,0,12,9,84,10,0,6,6,30,64,21,26
E02006861,93,73,101,0,55,16,23,3,0,7,7,28,66,19,26
E02006880,93,87,132,1,10,26,78,14,0,4,4,25,68,24,18
W02000097,93,69,127,1,3,2,91,16,0,5,5,23,70,40,10
W02000101,93,40,139,0,9,5,96,9,0,4,4,26,67,27,25
E02000167,92,38,98,0,28,17,15,28,0,5,5,25,68,24,27
E02000256,92,77,106,0,20,21,34,23,0,5,5,20,72,20,11
E02000483,92,82,108,1,12,28,39,16,0,5,5,33,60,25,26
E02000603,92,105,102,0,28,9,29,31,0,5,5,20,72,27,20
E02000626,92,148,101,0,29,13,24,23,0,5,5,37,55,28,24
E02000670,92,79,108,0,15,18,33,24,0,4,4,27,65,27,15
E02000846,92,63,103,0,13,13,42,23,0,4,4,23,69,16,25
E02000869,92,71,100,0,47,10,15,20,0,4,4,32,60,25,18
E02001172,92,57,111,0,16,26,53,5,0,6,6,25,68,30,15
E02002215,92,110,126,0,5,38,73,1,0,5,5,27,65,20,26
E02002582,92,35,119,2,8,5,83,15,0,5,5,25,67,27,27
E02002874,92,76,117,0,18,14,60,11,0,5,5,26,66,24,28
E02003031,92,70,108,0,31,15,38,15,0,6,6,33,59,18,20
E02003262,92,181,114,0,12,20,69,5,0,6,6,29,64,18,23
E02003319,92,99,110,1,3,22,65,16,0,5,5,23,69,28,21
E02003650,92,55,144,2,9,4,111,12,0,5,5,23,69,32,22
E02003805,92,27,114,2,14,6,73,14,0,4,4,16,76,24,18
E02003894,92,88,140,1,5,9,108,8,0,4,4,25,67,24,28
E02003946,92,75,141,1,9,13,82,18,1,5,5,17,75,30,19
E02004284,92,101,109,1,21,34,31,18,0,6,6,20,75,28,19
E02004438,92,78,117,1,14,27,62,7,0,5,5,25,68,28,21
E02005393,92,41,137,5,6,3,105,14,0,4,4,27,65,27,29
E02005436,92,101,120,2,6,12,83,14,0,6,8,25,67,29,18
E02005684,92,33,119,1,3,7,90,10,0,5,5,26,68,31,22
E02005813,92,112,106,0,23,27,38,14,0,6,6,24,69,27,23
E02006016,92,54,125,2,4,1,99,15,0,5,5,24,68,23,22
E02006112,92,38,155,6,4,6,132,5,0,4,4,20,72,24,22
E02006381,92,75,131,2,7,3,101,15,0,4,4,28,64,24,31
E02006544,92,114,133,1,10,8,99,8,0,6,6,31,62,27,25
E02006625,92,91,121,0,14,16,73,13,0,5,5,16,76,22,24
E02006789,92,81,114,0,22,10,63,11,1,4,4,22,70,27,17
E02006840,92,79,117,1,16,15,58,16,0,7,7,23,69,34,15
E02006898,92,28,109,0,14,24,51,9,0,5,5,32,60,21,23
W02000045,92,5,115,1,13,37,46,14,0,6,6,30,62,23,20
E02000142,91,77,101,1,18,15,40,19,0,5,5,26,65,23,21
E02000177,91,93,100,0,23,19,22,22,0,5,5,34,57,28,22
E02000385,91,62,102,1,23,18,23,33,0,4,4,30,61,23,18
E02000798,91,85,106,0,22,12,41,21,0,7,7,15,77,22,18
E02001070,91,57,110,0,32,13,56,1,0,5,5,30,61,22,14
E02001914,91,68,114,0,23,13,68,5,0,3,3,25,66,20,27
E02002706,91,63,117,2,26,5,67,10,2,5,5,22,69,20,27
E02002856,91,44,112,1,20,21,59,4,0,7,7,37,57,21,25
E02002910,91,67,132,5,1,9,96,11,0,5,5,28,64,23,26
E02002966,91,61,112,0,16,22,51,14,0,5,5,27,64,17,30
E02003568,91,101,104,2,26,17,30,23,0,5,5,31,60,22,22
E02003579,91,97,108,0,18,20,39,26,0,5,5,32,59,25,27
E02003973,91,96,120,0,7,25,70,6,0,5,5,22,69,21,23
E02003984,91,36,100,0,14,43,30,7,0,5,5,28,63,24,30
E02004119,91,76,126,1,12,10,83,12,0,7,7,27,66,18,22
E02004514,91,52,112,1,12,8,68,21,0,4,4,28,63,29,13
E02004730,91,68,116,0,10,7,65,28,0,6,6,26,66,22,19
E02004733,91,65,113,2,19,9,62,22,0,5,5,26,65,24,18
E02004793,91,54,116,4,15,6,74,17,1,4,4,18,73,20,19
E02005020,91,108,135,0,9,9,88,16,0,5,5,24,67,31,24
E02005208,91,69,132,0,17,18,85,6,0,7,7,23,68,17,22
E02005543,91,123,112,1,15,30,37,18,0,5,5,25,66,28,19
E02005627,91,39,137,8,3,2,109,10,0,4,4,30,61,23,18
E02005705,91,49,139,5,2,4,104,12,0,4,4,25,67,29,21
E02005752,91,45,142,3,8,3,107,7,0,4,4,32,59,23,23
E02006074,91,71,117,3,3,9,83,18,0,6,6,25,67,29,21
E02006174,91,54,131,1,11,6,71,15,0,6,6,24,67,23,28
E02006457,91,77,120,1,17,12,72,12,0,5,5,31,61,28,26
E02006663,91,127,130,4,8,15,91,6,0,6,6,22,71,26,26
E02006886,91,78,137,4,6,3,95,8,1,7,7,23,69,23,25
W02000123,91,68,118,1,3,14,80,13,1,5,5,15,76,25,23
W02000153,91,56,124,1,5,3,101,8,0,5,6,19,72,25,23
E02000046,90,51,100,0,10,26,29,27,0,4,4,21,69,25,25
E02000178,90,110,94,1,24,18,13,34,0,5,5,26,65,25,15
E02000263,90,149,115,0,15,24,59,10,0,6,6,34,56,16,23
E02000305,90,88,101,0,9,24,35,29,0,5,5,24,66,25,20
E02000319,90,118,101,0,7,21,51,13,0,6,6,26,65,26,25
E02000703,90,74,98,0,25,12,31,26,0,5,5,26,64,29,23
E02000715,90,79,111,0,10,16,58,18,0,4,4,38,53,25,28
E02000856,90,93,101,0,8,23,36,21,0,5,5,19,73,24,24
E02001064,90,75,114,2,10,15,74,6,0,5,5,31,60,24,23
E02001540,90,116,133,0,8,14,79,13,4,8,7,19,73,21,21
E02001541,90,103,108,2,10,25,59,9,0,7,7,29,65,24,29
E02001868,90,107,116,0,4,23,78,5,0,5,5,27,63,29,24
E02002603,90,34,112,3,9,8,74,11,0,5,5,28,62,23,20
E02002625,90,113,135,0,6,30,89,5,0,6,6,25,66,28,25
E02002653,90,92,108,2,17,28,41,17,0,6,6,26,65,18,30
E02002703,90,77,127,1,17,6,83,16,1,7,6,23,68,22,19
E02002991,90,25,104,1,16,41,29,12,0,6,6,31,60,24,26
E02003205,90,65,107,0,28,3,49,17,0,5,5,27,64,30,19
E02003343,90,51,116,1,7,15,82,11,0,4,4,18,72,22,21
E02003956,90,95,127,2,2,7,89,19,0,4,4,16,74,28,15
E02004070,90,40,133,1,11,8,82,24,0,7,6,18,72,28,13
E02004114,90,61,116,4,9,6,79,12,0,7,5,32,58,22,22
E02004596,90,90,124,2,10,6,85,11,0,4,4,32,58,21,25
E02004782,90,55,116,1,22,13,52,19,0,5,5,25,67,34,19
E02004829,90,46,154,5,3,4,130,4,0,3,3,34,57,25,26
E02004896,90,90,121,1,10,11,83,13,0,5,5,25,65,28,23
E02004905,90,50,125,1,7,10,89,13,0,4,4,24,66,21,22
E02005015,90,88,131,2,3,9,108,5,0,5,5,27,63,21,31
E02005042,90,79,118,2,8,12,74,18,0,5,6,27,64,31,23
E02005281,90,73,113,2,9,20,70,6,2,5,5,28,63,23,21
E02006272,90,71,119,2,5,3,90,11,0,5,5,23,67,22,20
E02006690,90,60,117,3,8,6,87,12,0,5,5,28,62,19,25
E02000274,89,131,106,0,3,39,47,9,0,7,7,34,56,26,27
E02000368,89,128,94,0,37,14,14,22,0,6,6,32,57,22,19
E02000764,89,106,109,0,15,24,47,17,0,7,7,28,62,19,28
E02001642,89,33,125,6,9,19,81,5,0,6,6,29,60,21,24
E02002615,89,118,122,0,2,20,88,7,0,7,6,31,59,24,21
E02003024,89,97,104,1,17,25,41,16,0,5,5,26,63,18,25
E02003543,89,96,99,0,34,21,30,8,0,5,5,40,49,21,26
E02003737,89,105,120,2,11,5,87,11,0,7,7,22,69,27,27
E02004089,89,61,97,0,37,23,23,12,0,4,4,20,69,19,27
E02004231,89,40,120,2,8,7,74,25,0,4,4,25,65,19,13
E02004378,89,80,107,0,11,31,37,16,0,5,5,21,68,27,20
E02004894,89,65,110,0,19,16,62,10,0,5,5,22,68,26,16
E02005116,89,88,109,0,13,12,61,13,0,4,4,21,68,26,19
E02005129,89,98,128,0,9,23,83,8,0,6,6,17,72,22,21
E02005276,89,60,120,4,12,12,69,16,2,5,5,22,68,21,22
E02005462,89,102,117,2,10,27,68,8,0,5,5,18,71,23,23
E02005537,89,49,191,3,3,9,164,5,0,4,4,25,64,30,21
E02005603,89,87,115,1,17,9,71,11,0,5,5,16,74,24,26
E02005606,89,50,125,2,5,3,90,13,0,4,4,25,64,20,23
E02005786,89,45,120,4,7,8,60,42,0,5,5,11,78,26,16
E02005954,89,64,99,0,35,13,26,18,0,6,6,22,67,18,23
E02006059,89,40,131,3,9,3,101,11,0,3,3,23,66,30,19
E02006392,89,95,112,0,12,17,66,9,0,5,5,26,64,24,29
E02006517,89,69,136,4,6,9,95,16,0,4,4,28,61,25,27
E02006627,89,93,102,0,31,12,46,10,0,5,5,19,71,24,26
E02006643,89,150,138,3,11,11,98,7,0,7,7,20,70,25,27
E02006714,89,37,123,0,13,4,91,10,0,4,4,25,64,23,25
E02006921,89,83,100,0,19,18,27,26,0,4,4,33,56,22,16
E02000439,88,94,109,0,7,17,51,24,0,5,5,32,56,22,21
E02000517,88,130,105,0,7,19,57,11,0,5,5,29,59,25,22
E02000738,88,117,118,1,9,19,55,16,0,4,4,35,54,17,23
E02000765,88,65,110,2,7,19,61,20,0,4,4,36,52,28,19
E02000935,88,114,104,1,39,12,28,20,0,4,4,22,66,24,17
E02001769,88,46,107,2,13,22,45,9,0,5,5,18,71,30,25
E02001874,88,1,128,0,8,21,93,0,0,5,5,30,59,26,23
E02002014,88,75,115,1,4,21,78,2,0,4,6,26,63,16,23
E02002268,88,75,101,1,14,18,55,6,0,6,6,29,60,25,18
E02002758,88,53,112,1,20,8,63,16,0,4,4,25,63,19,19
E02003180,88,103,106,0,21,25,32,20,0,5,5,13,76,21,25
E02003313,88,171,120,0,8,20,73,8,0,8,8,21,67,25,21
E02003406,88,73,98,0,15,3,50,18,0,5,5,31,57,21,25
E02003515,88,126,107,2,4,14,53,22,0,6,6,22,67,26,20
E02003554,88,53,102,2,29,8,43,18,0,4,4,23,65,25,19
E02003569,88,92,101,3,22,12,41,17,0,4,4,27,62,28,21
E02003589,88,77,100,0,7,27,40,19,0,5,5,21,67,23,21
E02003926,88,75,125,4,7,8,88,15,0,4,5,20,68,24,15
E02003935,88,125,123,2,3,21,79,10,0,5,5,16,72,25,17
E02004111,88,43,126,0,8,9,90,12,0,4,4,26,62,21,26
E02004805,88,45,104,0,14,13,60,11,0,5,5,26,63,20,24
E02004879,88,51,147,1,5,4,108,16,0,5,5,23,67,25,26
E02004898,88,74,141,1,8,9,110,7,0,5,5,22,68,25,16
E02004985,88,49,123,1,15,15,81,9,0,4,4,28,60,17,32
E02005596,88,82,103,0,16,24,49,10,0,6,6,19,71,24,20
E02005622,88,34,132,4,7,4,103,5,1,5,5,30,59,26,23
E02006093,88,70,134,3,2,13,107,11,0,5,5,24,65,24,26
E02006186,88,60,128,6,3,6,98,16,0,7,7,26,64,27,24
E02006410,88,101,99,1,11,26,38,19,0,5,5,21,68,27,23
E02006479,88,79,101,0,14,34,35,10,0,5,5,18,71,26,19
E02006510,88,37,125,2,9,2,95,10,0,3,3,17,71,32,14
E02006545,88,154,99,1,18,15,48,16,0,5,5,21,67,21,21
E02006547,88,80,127,2,16,10,82,8,0,4,4,31,59,20,25
E02006600,88,127,119,1,6,14,78,9,1,6,6,17,71,25,17
E02006604,88,126,100,2,21,17,40,18,0,7,7,23,67,24,20
E02006754,88,35,113,3,5,6,88,7,0,4,4,28,60,28,23
E02006888,88,90,100,0,19,18,44,13,0,3,3,26,62,18,20
W02000340,88,29,118,4,9,2,66,26,1,5,6,18,71,31,21
E02000104,87,94,107,0,6,16,53,23,0,4,4,34,53,20,21
E02000150,87,77,108,0,13,10,61,13,0,5,5,23,64,28,23
E02000554,87,132,94,1,28,17,15,28,0,6,6,26,62,28,16
E02000572,87,84,96,1,30,15,17,27,0,5,5,25,63,19,18
E02000708,87,77,100,2,24,14,47,11,0,5,5,26,62,26,19
E02000742,87,90,116,0,11,16,63,14,0,4,4,29,58,16,22
E02000906,87,126,96,0,31,20,23,17,0,5,5,33,54,17,19
E02000919,87,113,98,1,23,20,25,15,0,5,5,25,62,20,24
E02000981,87,60,101,0,16,21,10,36,0,5,5,31,56,18,19
E02001381,87,114,106,0,25,25,41,7,0,6,6,28,61,12,24
E02001477,87,63,111,1,17,22,53,14,0,5,5,23,65,22,18
E02001636,87,9,103,3,17,27,44,6,0,5,5,26,61,20,30
E02002233,87,111,114,0,7,28,69,6,0,6,5,32,55,19,17
E02002760,87,47,108,1,19,21,48,16,0,4,4,27,60,13,21
E02002843,87,71,126,1,8,31,71,5,0,7,7,28,59,28,19
E02003353,87,47,111,0,12,7,66,12,0,5,5,21,67,29,21
E02003752,87,124,117,7,5,8,87,8,0,5,5,28,59,31,21
E02004012,87,37,120,5,7,7,78,14,0,5,4,27,60,27,22
E02004132,87,73,128,6,11,4,86,10,1,5,5,26,62,26,19
E02004271,87,78,126,3,5,7,94,15,0,6,7,24,64,28,20
E02004845,87,73,113,0,14,16,69,10,0,4,4,28,59,19,20
E02005034,87,72,131,3,2,9,92,17,0,5,5,32,56,20,20
E02005121,87,160,130,2,7,6,86,20,0,7,8,22,66,25,19
E02005256,87,44,134,3,13,15,95,3,0,5,5,28,59,23,26
E02005268,87,121,118,0,13,36,60,4,0,6,6,26,61,28,19
E02005516,87,55,125,6,5,6,95,11,0,4,5,26,61,25,22
E02005578,87,57,135,2,1,2,111,14,0,3,4,13,74,19,25
E02005832,87,72,97,0,12,24,36,10,0,5,5,22,65,23,24
E02005893,87,89,110,3,9,10,70,13,0,6,6,26,63,23,19
E02005915,87,52,122,3,10,5,83,14,0,3,3,30,57,23,20
E02005945,87,50,107,1,42,9,33,12,0,6,6,20,68,16,17
E02006072,87,77,135,2,5,3,108,10,0,6,6,18,70,36,17
E02006402,87,101,117,0,19,6,68,9,0,7,7,23,65,22,22
E02006437,87,104,122,1,9,15,86,5,0,5,5,22,65,22,19
E02006640,87,60,118,5,9,4,80,12,0,4,4,19,68,26,12
E02006910,87,65,119,0,14,16,73,10,0,7,7,24,65,18,29
W02000114,87,44,104,2,7,7,65,19,1,4,4,20,67,24,18
E02000202,86,161,100,0,9,17,37,26,0,6,6,25,61,31,19
E02000231,86,72,106,0,8,18,58,15,0,5,5,25,61,16,19
E02000299,86,139,98,0,9,22,37,18,0,5,5,29,57,20,17
E02000320,86,100,121,0,7,12,79,14,0,4,4,31,55,19,30
E02000355,86,118,95,0,17,18,31,15,0,5,5,30,56,28,14
E02000516,86,101,119,0,5,10,84,9,0,5,5,22,65,28,11
E02000617,86,77,110,0,13,9,59,21,0,5,5,14,74,26,14
E02000650,86,111,95,0,17,19,29,24,0,6,5,31,55,23,19
E02000723,86,135,99,0,9,25,46,12,0,5,5,37,50,22,20
E02000779,86,129,108,0,5,24,67,8,0,4,4,24,62,27,21
E02001394,86,79,103,0,29,20,38,7,0,6,6,31,57,20,22
E02001547,86,121,113,2,8,10,80,6,0,7,7,23,63,27,19
E02001601,86,44,122,2,3,3,102,5,0,4,4,24,63,22,19
E02001607,86,56,114,1,6,11,84,3,0,6,6,32,54,20,20
E02002136,86,73,103,0,13,17,61,7,0,4,4,25,61,15,28
E02002142,86,63,115,0,3,9,90,8,0,4,4,36,50,23,14
E02002235,86,67,112,1,12,18,69,7,1,4,4,24,62,26,13
E02002335,86,46,125,3,11,5,91,9,0,5,5,15,72,25,21
E02002389,86,69,110,3,12,16,61,11,0,4,4,28,58,24,26
E02003126,86,52,114,0,7,11,70,19,0,5,5,23,63,24,23
E02003332,86,64,109,1,8,10,73,15,0,4,4,27,59,22,21
E02003565,86,78,91,1,26,16,28,15,0,4,4,40,46,15,19
E02003567,86,80,96,0,27,7,46,13,0,5,5,28,58,25,22
E02003740,86,51,136,6,4,5,103,8,0,3,3,23,64,17,23
E02003842,86,19,117,0,9,7,82,11,0,4,4,18,69,15,24
E02003970,86,58,137,4,4,9,106,8,0,5,5,11,75,27,16
E02004196,86,62,111,1,3,7,80,16,0,4,4,15,71,35,11
E02004674,86,73,107,1,16,8,61,13,0,5,5,19,67,20,22
E02005144,86,132,105,0,9,17,68,10,0,5,5,17,71,26,20
E02005500,86,53,115,5,5,7,82,7,0,4,4,24,63,18,27
E02005536,86,50,119,0,8,4,93,13,0,4,4,32,55,20,24
E02005568,86,77,124,3,1,5,94,13,0,3,4,21,65,20,31
E02005796,86,36,143,2,8,6,91,18,0,6,4,15,71,28,13
E02005810,86,68,115,4,9,6,64,27,1,5,6,20,67,23,18
E02005846,86,57,98,0,18,25,45,4,0,4,4,28,58,23,16
E02006105,86,77,101,1,25,18,46,11,0,6,6,19,67,29,26
E02006308,86,76,95,0,31,16,35,8,0,5,5,23,64,22,22
E02006626,86,122,100,0,20,10,56,12,0,5,5,27,60,19,19
E02006890,86,88,91,3,27,20,34,8,0,4,4,32,54,27,30
W02000359,86,83,116,1,12,27,59,11,0,5,5,30,56,19,25
E02000222,85,92,102,0,10,19,45,21,0,5,5,26,60,15,23
E02000284,85,79,98,1,5,30,36,15,0,5,5,23,63,18,18
E02000522,85,121,95,0,16,22,39,11,0,5,5,29,56,20,19
E02000674,85,103,97,1,7,18,39,26,0,5,5,33,52,23,21
E02000681,85,109,106,0,14,15,53,17,0,5,5,31,54,20,21
E02000682,85,124,108,0,12,17,57,9,0,5,5,34,53,20,24
E02000694,85,98,93,0,18,13,28,32,0,5,5,34,51,19,22
E02000817,85,107,90,0,24,13,21,23,0,4,4,31,54,29,18
E02000953,85,87,94,1,29,16,19,26,0,4,4,23,62,20,17
E02001355,85,54,111,1,16,22,57,5,0,5,5,28,57,18,26
E02001383,85,65,122,0,19,23,51,2,0,5,5,26,59,22,22
E02001618,85,38,111,3,12,3,61,24,0,8,6,23,64,23,31
E02001795,85,35,100,1,11,21,46,9,0,6,5,25,61,18,27
E02001866,85,108,106,0,10,21,68,4,0,5,5,41,44,8,27
E02002061,85,67,106,0,7,25,56,8,0,4,4,23,63,16,22
E02002126,85,78,118,1,15,11,75,7,0,5,4,18,67,23,20
E02002448,85,80,122,6,8,10,86,12,0,5,5,29,56,17,23
E02002682,85,129,95,0,34,15,35,9,0,5,5,18,67,21,27
E02002937,85,53,129,0,9,5,95,7,1,6,6,27,60,22,22
E02002994,85,48,119,3,12,7,82,12,0,7,7,20,67,22,20
E02003304,85,88,118,0,6,6,88,12,0,6,6,23,63,25,18
E02003425,85,105,95,0,28,21,31,8,0,7,7,19,66,22,20
E02003770,85,102,138,0,3,3,114,6,0,4,4,20,65,22,17
E02003862,85,15,111,0,10,2,81,10,0,3,3,24,61,21,28
E02003875,85,28,127,3,9,0,96,12,1,4,3,18,67,29,13
E02003932,85,63,138,3,5,6,105,11,0,3,3,23,62,23,19
E02004171,85,59,114,3,2,4,92,12,0,4,4,23,62,22,15
E02004204,85,76,134,2,6,12,105,7,0,6,6,27,58,19,26
E02004234,85,33,117,0,3,1,89,20,0,4,5,30,55,20,21
E02004236,85,46,117,0,7,3,88,11,0,4,4,19,68,24,18
E02004402,85,93,109,0,14,29,57,6,0,5,5,17,68,26,15
E02004435,85,65,101,1,9,20,54,9,0,5,5,19,66,27,20
E02004472,85,32,117,2,5,3,83,10,0,4,4,20,67,25,10
E02004685,85,60,100,0,13,5,56,20,0,5,5,17,69,26,19
